school_id,nominator_id,conf_status,school_name,school_city,school_state,school_district,school_within_school,nominator,nominator_reason,school_purpose,school_model,stage_n,implementation_years,blended_learning,competency_education,equity,experiential,staffing_infrastructure,learner_agency,maker,pbl,redefining_success,sel,udl,wraparound,station_rotation,flipped_classroom,lab_rotation,individual_rotation,flex,a_la_carte,enriched_virtual,opportunities_mastery,advancement_mastery,performance_assessment,grading_mastery,assessment_schedule,competency_framework,equity_plan,reallocation_resources,design_margins,restorative_practice,culturally_relevant,rigorous_coursework,elimination_tracking,graduation_supports,poverty_supports,immigrants_supports,ell_supports,flexible_staffing,flexible_facilities,flexible_schedule,real_time_data,quality_materials,oer,multi_age,devices_home,integrated_data,student_goals,student_pace,learning_paths,learner_profiles,student_conferences,student_data,projects_primary,student_projects,interdisciplinary,real_world,exhibitions,portfolios,career_prep,outside_credit,service_learning,local_focus,local_global,design_thinking,community_partnerships,makerspace,measures_college,measures_career,measures_deeper,measures_purpose,measures_sel,measures_climate,sel_plan,sel_curriculum,sel_integrated,circles,advisories,hiring_practices,relevant_learning,information_formats,ways_mastery,accommodations,data_instruction,adaptive_content,mentoring,mental_health,physical_health,community_support,open_hours,t1_confirmed_s,t2_confirmed_s,tag_evaluation_n,why_tag_evaluation_n,suggested_tags_n,tag_evaluation_s,why_tag_evaluation_s,nces_id,state_id,website,school_type,charter,magnet,no_grades,pk_grade,kg_grade,1_grade,2_grade,3_grade,4_grade,5_grade,6_grade,7_grade,8_grade,9_grade,10_grade,11_grade,12_grade,13_grade,ug_grade,ae_grade,low_grade,high_grade,level,CCD_student_count,native_count,native_percent,asian_count,asian_percent,hispanic_count,hispanic_percent,black_count,black_percent,white_count,white_percent,multiple_races_count,multiple_races_percent,hawaiian_native_count,hawaiian_native_percent,total_race_count,lunch_program,locale,locale_original,FRPL_count,FRPL_percent,direct_certification_count,direct_certification_percent,title_i_status,CRDC Total Enrollment,IDEA_percent,LEP_percent
1,109,Confirmed,A2 Virtual + Academy,Ann Arbor,Michigan,Ann Arbor Public Schools,No,Anonymous,The level of personalization in the online environment.,"The primary objective for the A2Virtual+ Academy is to provide students access to online and extended learning options that will help them to develop a personalized learning path. The vision of A2 Virtual+ Academy is to offer a multitude of world-class, cutting edge, curricular delivery options to enhance the traditional education of all secondary students (grades 6-12) through continual research, innovation, and expansion of its non-traditional offerings.  ",We offer an online or blended course option that replaces a course during the traditional school day.  We offer a comprehensive catalog of courses from the traditional middle school curriculum through a variety of World Languages and Advanced Placement courses. The majority of our students take between one and two online classes per term. Students in grades 5-8 have the opportunity to take a competency-based mastery math program that allows the opportunity for students to move through math at an accelerated rate.  ,Mature and going strong (more than 3 years),4-5 years,1,1,1,,1,1,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,1,1,1,,,1,,,1,1,,1,,,,,,,,,1,,1,1,1,1,,,,,,1,1,1,,1,1,1,1,,,,1,"Yes, this is accurate.",,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"102, 121",Confirmed,Albemarle County Community Public Charter School (Community Middle),Charlottesville,Virginia,Albemarle County School District,No,"EdSurge, Anonymous","They're doing remarkable work bringing elements of play into curriculum in meaningful ways. They're working with MIT's Playful Assessment team to rethink how to measure student growth and partnering with MakerEd to bring making and play to life at their school (https://www.edsurge.com/news/2018-12-11-how-playful-assessment-unseated-standardized-tests-at-one-school). The school has been around for 10 years but recently reopened with a new staff and model.

The school provides an innovative learning environment, using the arts, to help children in grades six through eight balance individual strengths and developmental needs to develop the whole child intellectually, emotionally, physically and socially. With Choice Theory as our philosophical base, we strive to help students gain more responsibility for their social-emotional lives and in their academics. Seeking to serve students at risk of not succeeding in school, we foster the knowledge, skills, and habits of mind necessary to close student achievement gaps in math and reading literacy and provide a community of engaged learners and participatory citizens.","Albemarle County Community Public Charter School (Community Middle) was founded as a nontraditional middle school in 2008. Community Middle and Albemarle County's other charter school, Murray High School, are co-located and both aim to foster creativity and intellectual curiosity through art and design, experiential learning, mastery, and student agency.  As educational laboratories for student-centered learning, the schools design and pilot nontraditional approaches to learning that align to ACPS mission, vision, and goals with intent to inform practices more broadly.  Areas of emphasis include: Fully Interdisciplinary, Multiage, Arts-Infused Curriculum Mastery Learning and Standards-Based Reporting Inquiry, Experiential, and Project-Based Instruction Performance and Embedded Assessments Social-Emotional Learning Emphasis Partners in research include the University of Virginia, Massachusetts Institute of Technology, National Science Foundation, U.S. Department of Education, Maker Education Initiative, and others.   ",,Early stage (0-3 years),Less than 2 years,,,,1,,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,,,1,1,1,1,1,"Yes, this is accurate.",,"4, 4",,arts integration,4,,510009002796,VA-002-0021060,http://www2.k12albemarle.org/school/cpcs/Pages/default.aspx,Regular School,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,50,0,0.00%,0,0.00%,2,4.00%,3,6.00%,38,76.00%,7,14.00%,0,0.00%,50,Yes participating without using any Provision or the CEO,Urban,"City, Small",17,34.0%,,,Not a Title I school,47,48.9,4.3
4,61,Confirmed,Albemarle Road Elementary School,Charlotte,North Carolina,Charlotte-Mecklenburg Schools,No,Anonymous,"Albemarle Road Elementary, in the large, urban Charlotte-Mecklenburg district, uses the Opportunity Culture model. The school ""exceeds growth"" under the state definition. An Opportunity Culture school extends the reach of excellent teachers and their teams to more students, for more pay, within the school's recurring budget. Multi-Classroom Leadership is the foundation of an Opportunity Culture; multi-classroom leaders (MCLs) lead a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The schools redesign schedules to provide additional school-day time for teacher planning, coaching and collaboration. MCLs typically lead the introduction of more effective curricula, instructional methods, classroom management and schoolwide culture-building. Accountable for the results of all students in the team, multi-classroom leaders earn substantial pay supplements, within the regular school budget. The school design teams reallocate school budgets to fund pay supplements permanently, in contrast to temporarily grant-funded programs.",Teacher Leadership Framework Mission: To provide an optimal teaching and learning environment with opportunities for career acceleration by means of student achievement.  Vision: A culture of coaching leads to a pathway of opportunities for leadership development resulting in high levels of teacher retention and students achievement. ,"Vision: To create an instructional leadership team with all members adopting the learning organization mindset so sustainable student achievement will increase through the development of teacher capacity by means of intentional coaching. Goals: Maintain frequent and consistent collaboration among all members of ILT Exhibit high levels of TRUST, OPENNESS and VULNERABILITY. Connectedness is evident through problem solving across specialty areas. Experiencing ""wins"" and ""losses"" collectively. Strengthening teacher capacity fosters higher student achievement. High levels of commitment to do whatever it takes for teaching and learning to excel. ",Mature and going strong (more than 3 years),4-5 years,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Yes, this is accurate.","Yes, this is accurate.",3,,Opportunity Culture,3,,370297001186,NC-600-300,http://schools.cms.k12.nc.us/albemarleroadES,Regular School,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,5,Elementary,1169,5,0.43%,127,10.86%,628,53.72%,354,30.28%,42,3.59%,8,0.68%,5,0.43%,1169,Yes participating without using any Provision or the CEO,Urban,"City, Large",1148,98.2%,,,Title I schoolwide school,1136,10.2,47.1
6,125,Confirmed,Amana Academy,Alpharetta,Georgia,Single site charter,No,EL Education,"STEM, project-based learning, SEL embedded in academics, culturally-relevant pedagogy, student-engaged assessment (student-led conferences, portfolios, etc)","Amana Academy is both an EL Education Credentialed school and a Certified STEM (science, technology, engineering, math) school where core content is integrated such that students can solve local and global problems that matter.  Amana serves one of the most diverse student populations in the county, if not the state, with students claiming over 40 countries of heritage, more than 26 different languages spoken in their homes, and no majority race or ethnicity represented.  Our academic and social emotional programming build off this diversity, as global awareness builds empathy and provides context for the historical and contemporary issues that students are exploring in their learning. ",,Mature and going strong (more than 3 years),More than 9 years,,1,,1,,1,1,1,,1,,,1,,,,,,,1,,,1,,,1,,,1,1,1,,,1,,1,,,,,1,1,,,,1,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,,,1,,1,1,1,,1,,1,1,1,1,1,,,,1,,,,,"Yes, this is accurate.",,3,,,3,,130228003535,GA-660-0406,,Regular School,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,8,Elementary,726,0,0.00%,121,16.67%,88,12.12%,276,38.02%,203,27.96%,36,4.96%,2,0.28%,726,Yes participating without using any Provision or the CEO,Urban,"City, Small",395,54.4%,28,3.9%,Title I schoolwide school,742,6.3,9.8
7,78,Confirmed,American Academy of Innovation,South Jordan,Utah,American Academy of Innovation,No,Utah State Board of Education,"American Academy of Innovation (AAI) is building the following Competency-Based Education Program (CBE) as both a continuation and a substantial improvement of our existing program. Our current education program centers on both experiential learning (EL) and project-based learning (PBL). Our EL programming boasts an enduring partnership with Southern Utah University, the administrative organization for experiential teaching on the West Coast. Our PBL programming reflects the Buck Institute's comprehensive PBL philosophy and approach. In addition to these partnerships, AAI recently solidified a 4-year extended partnership with CHOICE Humanitarian. This partnership will allow our students to work directly with in-country, local leadership to solve real-world problems for poor countries.","The American Academy of Innovation (AAI) is unique in its overall educational approach, meeting the needs of increasing individual choice in learning opportunities and improving student learning. AAI offers a unique blend ofstrong academic programming using experiential learning combined with Career and Technological Education (CTE) courses to develop 21st Century Skills. AAI then incorporates partnerships to prepare students for success in their communities and ultimately the world around them. The focus of staff is to help students build responsibility and ownership of their own education. Students willlearn to find resources and develop techniques to help them learn using the methods best suited to their individual needs. AAI believesin students solving real-world problems every day through meaningful projects. As they reflect on these experiences, they come to understand the relevance of their education.  ",,Early stage (0-3 years),2-3 years,,1,,1,,1,,1,1,1,1,,,,,,,,,,,1,1,,,,,,,,,,1,1,,1,1,1,1,1,,,1,,,1,,,,,,1,1,1,1,1,1,,,1,,1,1,1,1,,,,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,,"Yes, this is mostly accurate.",,3,,,3,,490018601483,UT-8K-8K700,http://www.aaiutah.org,Regular School,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,6,12,"Middle, High",213,0,0.00%,4,1.88%,11,5.16%,0,0.00%,195,91.55%,3,1.41%,0,0.00%,213,No,Rural,"Rural, Fringe",,,,,Not a Title I school,,,
8,83,Confirmed,Anastasis Academy,Centennial,Colorado,none provided,No,ReSchool,"micro school, learning genome cards to personalize learning, independent school so freedom to do things not possible in public schools, great leader","Anastasis Academy is a revolutionary K-8 school that builds independent and creative thinkers with purpose. Rooted in the Reggio-Emilia philosophy, we deliver whole-child learning through challenging inquiry, creativity, and experiential study within a supportive, faith-based community.","Challenging, immersive learning, and curriculum (developed based on the individuals that we serve each year). Mixed-age classes. Grounded in Reggio philosophy, building off student's own interests. Innovative, student-centric approach. Inquiry-based learning. Our Students are: Well-rounded, entrepreneurial, creative thinkers, curious students dedicated to the world around them, practitioners of faith who take initiative to influence positive change, individuals with good character and a strong sense of self, empowered students who are active advocates of their own learning, and enjoy a strong sense of community and belonging   ",Mature and going strong (more than 3 years),8-9 years,,,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,1,1,1,,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,,1,,,,1,1,1,1,,1,,,,,,"Yes, this is accurate.",,3,,,3,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,80,Confirmed,Armada High School,Armada,Michigan,Armada Area Schools,Yes,Michigan Department of Education,"They are now looking at the big picture and have switched from teacher-centered to student-centered. The school now includes 21st Century skills, and students are required to take a two-year career sequence. The school now also offers Career Technology Education (CTE) courses. The school has discussions about what students can and can't do with specificity, rather than just looking at test results.","Our purpose is to ensure our graduates are prepared for whatever path they choose to pursue in life, whether it be college, career, trades, military, etc. We seek to provide students with high school experiences that include a 2-year career sequence, opportunities to earn college credits and industry recognized certifications, as well as internships and job experiences. ","Our high school is focused on and committed to preparing students for any path they may choose after high school. We continuously work to build our course offerings to students, and we are focused on competency-based instruction that allows students to grow at their individual paces. ",Early stage (0-3 years),4-5 years,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,,,1,1,,,,,1,,,1,,1,,,,,,,,,,1,,,,,,1,,1,,1,,,,,,,,1,,,,,1,,,1,1,,,,"Yes, this is accurate.",,3,,none,3,,260324004042,MI-50050-00119,http://www.armadaschools.org,Regular School,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,659,3,0.46%,0,0.00%,9,1.37%,0,0.00%,643,97.57%,4,0.61%,0,0.00%,659,Yes participating without using any Provision or the CEO,Rural,"Rural, Distant",116,17.6%,,,Title I targeted assistance eligible school-No program,697,7.2,0.6
11,94,Confirmed,Aspen Academy,Greenwood Village,Colorado,none provided,No,Anonymous,Strong entrepreneurship focus for kids K-8. Kids need to have owned and operated a business before graduation. High focus on financial literacy. Founder is an entrepreneur. Shows what's possible in education.,"Aspen Academy is a leader in education, creating the nation's first integrated PreK-8th grade leadership and entrepreneurial development program. Aspen Academy is committed to providing each of our students an education of consequence that equips them with the skills, habits, attitudes and content needed to successfully develop and navigate an extraordinary and purposeful life. This transformed education model is a paradigm shift in educational delivery. ","Aspen Academy is a leadership and entrepreneurial school focused on the development of each individual child's strengths, gifts, passions, and discovery of purpose. This is achieved through the commitment to the highest academic standards both nationally and internationally and the tracking of mastery through proficiency scales. Mastery is driven through project-based, real world, and experiential opportunities.  Students are given an individualized plan and path with goals to be leaders of their learning and their lives beyond school walls.",Mature and going strong (more than 3 years),8-9 years,,,,1,,1,1,1,1,1,,,1,1,1,,1,,,1,1,1,,,1,1,,,1,1,1,,1,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes, this is accurate.",,3,,entrepreneurship focused,3,,,,,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"68, 72, 122, 124",Confirmed,Avalon School,St. Paul,Minnesota,Avalon Charter,No,"Education Evolving, EdVisions, Center for Teaching Quality (CTQ), Education Reimagined","Although Avalon's student body is not racially diverse, the schools attracts many students who were looking for a school environment that supports their well-being (100% of parents and 97% of students say Avalon is a safe and a positive learning environment, and many students are from the LGBT community). They also serve a high needs population, with 36% of Avalon students identified as special education.  Avalon uses a teacher cooperative model. Their teacher team has autonomy in all 15 potential areas and their board has a teacher majority.   The Avalon teacher team chooses to use a self-directed project-based learning program and 360-degree teacher evaluation. They have have very low teacher turnover rates (5.3%). They also take seriously the notion of educating the whole child, and along with traditional assessments use the Hope Survey to assess students' non-academic outcomes, such as self-efficacy, optimism, and problem-solving ability, so the teacher team can evaluate what areas of school design the team needs to adjust in order to better help its students improve these outcomes.  The teacher team believes it is important to model collaborative leadership to their students and therefore decided to make the student body a voting branch of the school government, with students passing bills (for example, on acceptable cell phone and school attendance policies). Teachers secure autonomy via: charter school contract and school bylaws. 

Very innovative personalized approach to learning.  No set courses, entirely project-based and experiential. Teacher-run. Student safety is priority. Social justice focus.

This is a long-standing teacher-powered school that serves many students who may have a difficult time in traditional school settings. They get amazing student outcomes and focus on the individual learning and social-emotional needs of students.

Avalon serves a high percentage of learners with special needs or IEPs (nearly 30%), and has also become an informal hub for young people who are wrestling with gender or sexual identity issues. It is a teacher-powered charter school that serves middle and high schoolers. It has a commitment to flexible staffing and deep professional learning among staff to better serve the needs of its learners. They are competency-based, allowing learners to identify and develop projects that meet their interests. They are also committed to allowing learners to develop agency and ownership of their learning, accounting for this transition on the part of learners who may take months to settle in, but then accelerate into their competency-based program to complete on time. Allowing fluidity by not having grades (freshman, junior, senior) makes this more possible. The school does a lot to expand the universe for learners, making connections in person and virtually to people who can help learners with projects. Learners develop a real sense of project development, pacing, time management and self-reliance through this process.","Avalon School operates as a democratic community where students practice self-directed skills by determining their curriculum and deciding how they will meet their graduation standards through seminars and student designed projects. While students are empowered to lead their education and accept responsibility for the community of learners in the school, teachers at Avalon are similarly empowered. There is no principal or director; the teachers operate as leaders and shared decision-makers.","Avalon is a collaborative democratic community that places student empowerment at the center. Students are trusted to create self-directed projects and design their curriculum. Students also mediate conflicts, reinforce school culture, and create rules for Avalon through the Avalon Student Congress, Peer Mediation Program, and Advisory Model. Teachers at Avalon are similarly empowered and participate in shared decision making to administer the school. Teachers authentically model collaborative governance and agency for our students. ",Mature and going strong (more than 3 years),More than 9 years,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes, this is accurate.","Yes, this is accurate.","4, 4, 3, 3",,"teacher-powered, teacher led, teacher designed, cooperative
Integrated, developmentally-aligned/responsive; serve learners with a wide range of cognitive abilities",4,,270018703140,MN-074075-074075010,http://www.avalonschool.org,Regular School,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,157,4,2.55%,11,7.01%,6,3.82%,21,13.38%,115,73.25%,–,,–,,157,Yes participating without using any Provision or the CEO,Urban,"City, Large",41,26.1%,,,Not a Title I school,129,41.1,0.0
16,112,Confirmed,Avanti High School,Olympia,Washington,none provided,No,Anonymous,"The school's mission is to help create growth, both academically and emotionally. This is important for their goal of creating citizens of an equitable, democratic society. The school is focused on arts education and arts integration, and also includes a focus on personalization, and ""habits of mind and heart"".  The school also mentions social justice as an important theme across the school. Personalization happens through personal relationships with teachers and other students, self-reflection, student choice, demonstrations of mastery (rather than grades), and the role of the teacher (as a coach rather than a ""sage on the stage""). ""Habits of mind and heart"" are ""critical thinking, mindfulness, compassion, reflection, connection, responsibility, communication, quality, resiliency, joy, integrity, inspiration, and creativity."" Students are regularly asked to reflect on these qualities, even within class assignments.  ","Arts integration, Social Justice and Equity centered, an interdisciplinary approach, mastery learning, combination of project-based learning and opportunity for self directed (deep) learning. ","Our philosophy provides for a creative, authentic, performance-based educational system that equips all students with intellectual skills and promotes emotional intelligence. Students are empowered, informed citizens who contribute actively toward a democratic and equitable society.  Avanti honors diversity and builds on the strength of its community, deliberately and explicitly, challenging all forms of inequity. Avanti is a small innovative public high school that provides a personalized learning environment. We build lifelong connections to learning, creativity, resourcefulness, and social justice. Avanti's mission is to promote compassion, critical thinking, and creative self-expression, while emphasizing high standards for all students within an interdisciplinary structure.  Core Themes: Creativity and innovation Arts integration, performance-based learning, collaboration over competition, depth in curriculum over coverage, relationship-based environment, importance placed on community, learning to use one's mind well, personalization of student as worker, teacher as coach, demonstrations of mastery, a tone of decency and trust, developing the habits of mind and heart ",Mature and going strong (more than 3 years),More than 9 years,1,1,1,1,1,1,,1,1,1,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,,1,1,,,,,"Yes, this is mostly accurate.",,4,,,4,,530618002689,WA-34111-1768,http://avanti.osd.wednet.edu/,Alternative School,No,Missing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,159,–,,–,,14,8.81%,1,0.63%,125,78.62%,19,11.95%,–,,159,Yes participating without using any Provision or the CEO,Urban,"City, Small",55,34.6%,32,20.1%,Not a Title I school,146,9.6,0.0
