school_id,school_name,school_city,school_state,school_district,school_within_school,leader_tenure,interest_participate_research,measure_success,willing_share_evidence,tag_evaluation_s,promising_practices,suggested_tags_s,public_contact,public_contact_role,public_contact_email,blended_learning,competency_education,design_equity,expanded_success,anti_racist_action,pbl,sel,community_supports,reallocation_resources,service_learning,circles,career_prep,culturally_relevant,community_partnerships,restorative_practice,sel_integrated,assessments_sel,mental_health,physical_well_being,trauma_informed,learning_paths,interdisciplinary,social_justice,ways_mastery,projects_primary,accommodations,learner_profiles,portfolios_exhibitions,real_world,student_projects,makerspace,assessments_deeper,flexible_staffing,real_time_data,individual_rotation,flipped_classroom,flex,student_data,competency_framework,performance_assessment,student_pace,advisories,student_goals,teachers_leaders,extended_learning,enriched_virtual,a_la_carte,assessments_career,meet_professionals,industry_credentials,dual_credit,early_college,elimination_tracking,mentoring,multi_age,tutoring,fully_remote,fully_in_person,hybrid,rotating_schedule,asynchronous_online,virtual_enrichment,remote_accommodations,place_based,family_learning,digital_materials,families_choose_modality,half_days,alternating_days,sel_curriculum,hiring_equity,peer_to_peer,station_rotation,grading_mastery,opportunities_mastery,synchronous_online,print_materials,student_conferences,families_leaders,design_thinking,flexible_facilities,adaptive_content,assessment_schedule,udl,dual_language,open_hours,interoperability,advancement_mastery,alternating_weeks,teachers_choose_modality,lab_rotation,conditions_desire_cutting_edge,conditions_external_catalyst_events,conditions_lack_of_student_agency,conditions_lack_of_teacher_agency,conditions_change_in_demographics,conditions_negative_factors_inside_school,conditions_covid19_closures,conditions_stakeholder_demand,conditions_systemic_inequities,conditions_other_rank,conditions_other_text,NCES_id,student_count,black_percent,hawaiian_native_percent,native_percent,multiple_races_percent,asian_percent,hispanic_percent,white_percent,pk_grade,kg_grade,1_grade,2_grade,3_grade,4_grade,5_grade,6_grade,7_grade,8_grade,9_grade,10_grade,11_grade,12_grade,suspended_percent,chron_absent_percent,LEP_percent,IDEA_percent,title_i_schoolwide,type,magnet,direct_certification_count,website,locale,FRPL_percent,average_grad_rate,ELA_School_Average,Math_School_Average
1,A2 Virtual + Academy,Ann Arbor,Michigan,Ann Arbor Public Schools,Yes,7-9 years,Yes,We measure success through student engagement and course completion.,Yes,Very well,Expanded full-time student participation which resulted in expanded course offerings in middle school core and electives.,,Cindy Leaman,Principal,leamanc@aaps.k12.mi.us,1,5+ years,1,1,,1,1,1,,1,,,,1,,,1,,,,,1,,,,5+ years,,1,1,,,1,1,1,,,,1,1,5+ years,5+ years,1,1,1,,,,,,,,,,,,1,1,,,,5+ years,,1,,,1,,,,,,1,,1,1,,1,,1,,,1,1,1,,1,1,1,,,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Armada High School,Armada,Michigan,Armada Area Schools,No,4-6 years,Not at this time,Student achievement data and perception data.,Not quite yet,Well,,,,,,1,1,,,,,,,,,,,,1,1,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,1,,1,1,1,,,,1,1,1,,1,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,2,3,,,,,,1,,,,260324004042,602,0.00%,0.17%,0.50%,0.50%,0.33%,2.33%,96.18%,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,1.00%,14.92%,0.57%,7.17%,2-No,District,2-No,–,http://www.armadaschools.org,Rural,18.11%,95.00%,,
10,Asa Messer Elementary School,Providence,Rhode Island,Providence Public Schools,No,Less than a year,Yes,Equity can be observed through conferencing schedules embedded in our literacy curriculum Literacy progress as measured by our formative and summative assessments,Not quite yet,Well,,,,,,,,Less than a year,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,Less than a year,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,440090000213,545,8.81%,0.00%,0.73%,3.49%,8.81%,70.09%,8.07%,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,1.04%,30.62%,38.58%,15.40%,1-Yes,District,†,–,,Urban,88.62%,,19.5,19.5
21,Berrien Springs Virtual School,Berrien Springs,Michigan,Berrien Springs Public Schools,Yes,4-6 years,Yes,"Student, parent and staff perception data; academic achievement data; student growth data; and external agencies interest in our school's vision.",Yes,Well,,None to suggest at this time.,Berrien Springs Public Schools,Superintendent,deichberg@homeoftheshamrocks.org,5+ years,,1,,,1,,1,,,,1,,1,,,,,,,,1,,,,1,,1,,1,,,,1,,1,,1,1,1,1,1,,,1,5+ years,1,,,,1,1,1,,,1,1,1,1,,1-2 years,1,1,,1,1,5+ years,,,,,,,5+ years,1,1,1,,,,,,,,,1,,,,1,,4,,1,,,3,,,2,,A vision to meet the learning needs of all students.,260543008175,56,14.29%,0.00%,0.00%,5.36%,0.00%,7.14%,73.21%,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.00%,2.76%,1.38%,,–,District,2-No,–,http://www.homeoftheshamrocks.org,Rural,32.14%,,50,50
27,Casco Bay High School,Portland,Maine,Portland Public Schools,No,10 years or more,Not at this time,"We use an array of qualitative and quantitative measures, from traditional ones such as college acceptances and graduation rates to the quality of our student products and presentation. We get extensive survey data from students, staff and parents annually as well.",Yes,Well,,"EL Education, high quality student work, character",Derek Pierce,Principal,piercd@portlandschools.org,,1,1,1,1,5+ years,1,,1,,,,,1,1,,,1,,,,5+ years,5+ years,,,1,,1,1,1,,5+ years,,,,,,1,1,1,,5+ years,1,,1,,,,,,1,1,1,,1,,,,1,,1,,,,,,,,,,1,1,,1,1,1,,1,,,,,,1,,,,,,,,1,2,,,,,,3,,,,230993000603,390,23.59%,,,2.82%,4.87%,4.62%,64.10%,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,0.00%,14.51%,15.03%,14.51%,1-Yes,District,2-No,99,,Urban,45.13%,92.00%,,
41,CodeRVA Regional High School,Richmond,Virginia,CodeRVA Regional High School,No,1-3 years,Yes,"We use Multi-Tiered System of Supports (MTSS) to monitor student progress, and we have a list of data that we are using to develop baseline metrics for our future Strategic Plan/annual School Improvement Plan.",Yes,Very well,,We provide immersive internships (held at our school site) for all 11th and 12th grade students.,Kume Goranson,Executive Director,kume.goranson@coderva.org,3-4 years,,1-2 years,,1,,1,,,,,1,1,1-2 years,,,,,1,,,,1,1,,1,,1,,,,,,1,,1,,1,,1,1,,,1,,1,1,,1-2 years,,1,3-4 years,1,,1,,1,,,,1,1,1,,,1,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,2,,,,510025603031,0,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,†,District,2-No,–,,Urban,,,,
48,Conservatory Lab Charter School,Dorchester,Massachusetts,none provided,No,4-6 years,Yes,Student performance,Not quite yet,,Well,,Allida Warn,Development Coordintor,awarn@conservatorylab.org,1,5+ years,1,,,1,5+ years,1,,,1,,1,,,1,,1,,,,,,1,,1,,1,,,,,,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1-2 years,1,,,,1,1,1,1-2 years,1,3-4 years,1,1,1,,,,1,1,1,,,1,,,,,,,,,,2,1,,,,,250006001439,441,48.75%,,,2.49%,3.17%,40.82%,4.76%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2.75%,1.83%,20.82%,,1-Yes,Charter,2-No,215,http://www.conservatorylab.org,Urban,,,41.16666667,30.41666667
53,DC Bilingual Public Charter School,Washington,District of Columbia,none provided,No,4-6 years,Not at this time,Our ability to meet our school-wide goals.,Yes,Well,"Sure, happy to talk more about them!","Food and Wellness Model School, Sustainable Schools Model, Green Ribbon School",Daniela Anello,Head of School,danello@dcbilingual.org,,,5+ years,1,Less than a year,,1,5+ years,1,1,,,1,1,1,1,1,1,5+ years,,1,1,1,1,,1,,1,1,1,,1,1,1,,,1,1,1,,1,,1,1,1,1,,,,,,,,1,,,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,1,,1,1,1,1,1,1,5+ years,1,,,,,,,,,,,,,,1,,"The school charter was written with these core elements in mind, these are representative of the school's mission",110004200273,444,20.27%,0.23%,0.23%,2.48%,0.45%,61.71%,14.64%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,0.00%,1.46%,54.99%,13.63%,–,Charter,†,117,http://www.dcbilingual.org,Urban,,,35.33333333,32
62,Early Technical College at Tennessee College of Applied Technology,Clarksville,Tennessee,Montgomery County (Clarksville Montgomery County School System),No,1-3 years,Not at this time,Student attainment of industry credentials Student on-time graduation Student continuation into adult TCAT programs Student job placement into associated fields,Not quite yet,,Very well,,Dr. Dayna Paine,Director of Career and Technical Education,dayna.paine@cmcss.net,3-4 years,3-4 years,,1,,1,,1,1,,,1,,1,,,,,,,1,1,,1,,1,,,1,1,,1,,1,1,1,,1,,1,1,1,1,,,1,1,,1,3-4 years,1,3-4 years,1,1,1,1,,,1,1,1,1,1,,1,1,,1,,,,1,1,1,1,1,1,,,1,1,1,1,,,3-4 years,1,1,,,,1,2,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Elmer G Bondy Intermediate,Pasadena,Texas,Pasadena ISD,No,4-6 years,Yes,"Success is measured from a variety of measures including student and staff efficacy, the performance of teachers and students, willingness to act outside the box, desires to bring in new initiatives",Yes,Very well,Fully virtual and fully face-to-face classrooms during COVID-19.,,Roneka Lee,Principal,RLee@pasadenaisd.org,1,3-4 years,1,1,1,3-4 years,1-2 years,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,3-4 years,,1,1,1,1,1,1,1-2 years,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,,,1,,1,1,,,1,1,,1,,2,,1,,3,,,,,,,483432004691,942,3.82%,0.32%,0.11%,0.42%,6.26%,77.92%,11.15%,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,26.85%,10.97%,13.90%,10.87%,1-Yes,District,2-No,–,,Suburban,72.72%,,56,52.5
