school_id,school_name,school_city,school_address,school_state,school_district,website,learning_model,suggested_tags_s,policy_factors,school_descriptor_district,school_descriptor_charter,school_descriptor_independent,school_descriptor_sws,school_descriptor_virtual,school_descriptor_microschool,school_descriptor_homeschool,school_descriptor_hub,school_descriptor_other,school_descriptor_other_text,leader_tenure,practices_design_marginalized,practices_restorative,practices_hiring_equity,practices_dual_language,practices_trauma_informed,practices_social_justice,practices_anti_racist,practices_reallocation_resources,practices_culturally_responsive,practices_disaggregated_participation_data,practices_families_leaders,practices_physical_well_being,practices_sel_curriculum,practices_teachers_leaders,practices_mental_health,practices_sel_integrated,practices_student_conferences,practices_assessments_sel,practices_community_supports,practices_expanded_open_hours,practices_students_leaders,practices_design_thinking,practices_place_based,practices_flexible_facilities,practices_interdisciplinary,practices_portfolios_exhibitions,practices_pbl,practices_peer_to_peer,practices_flexible_staffing,practices_makerspace,practices_service_learning,practices_student_projects,practices_real_world,practices_assessments_deeper,practices_blended_learning,practices_station_rotation,practices_flipped_classroom,practices_flex,practices_student_data,practices_a_la_carte,practices_enriched_virtual,practices_individual_rotation,practices_adaptive_content,practices_interoperability,practices_hybrid,practices_virtual_pathway,practices_competency_education,practices_expanded_success,practices_student_goals,practices_learning_paths,practices_student_pace,practices_performance_assessment,practices_learner_profiles,practices_accommodations,practices_udl,practices_grading_mastery,practices_advancement_mastery,practices_competency_framework,practices_opportunities_mastery,practices_mtss_academics,practices_multi_age,practices_mentoring,practices_community_partnerships,practices_early_college,practices_assessments_career,practices_industry_credentials,practices_advisories,practices_career_prep,practices_tutoring,practices_extended_learning,practices_elimination_tracking,practices_dual_credit,learn_practice_1,learn_practice_2,learn_practice_3,learn_practice_4,learn_practice_5,focus_swd,focus_emergent_bilinguals,focus_homeless,focus_economic_disadvantage,focus_bipoc,focus_newcomer,focus_foster,focus_juvenile_justice,focus_other_student_group,focus_other_student_group_text,student_experience,leaps_rank_high_expectations,leaps_rank_whole_child,leaps_rank_rigorous_learning,leaps_rank_relevance,leaps_rank_affirmation,leaps_rank_social_consciousness,leaps_rank_connection,leaps_rank_customization,leaps_rank_self_direction,leaps_rank_anytime_anywhere,leaps_high_expectations,leaps_whole_child,leaps_rigorous_learning,leaps_relevance,leaps_affirmation,leaps_social_consciousness,leaps_connection,leaps_customization,leaps_self_direction,leaps_anytime_anywhere,self_reported_locale_rural,self_reported_locale_urban,self_reported_locale_suburban,self_reported_total_enrollment,self_reported_grades_pre_k,self_reported_grades_kindergarten,self_reported_grades_1st,self_reported_grades_2nd,self_reported_grades_3rd,self_reported_grades_4th,self_reported_grades_5th,self_reported_grades_6th,self_reported_grades_7th,self_reported_grades_8th,self_reported_grades_9th,self_reported_grades_10th,self_reported_grades_11th,self_reported_grades_12th,self_reported_grades_past_12th,self_reported_grades_other,self_reported_grades_other_text,self_reported_race_aian,self_reported_race_asian,self_reported_race_black,self_reported_race_hispanic,self_reported_race_nhpi,self_reported_race_multiple,self_reported_race_white,self_reported_ell,self_reported_frpl,self_reported_swd,self_reported_ela,self_reported_math,nces_id,nces_locale,nces_total_enrollment,nces_grades_pre_k,nces_grades_kindergarten,nces_grades_1st,nces_grades_2nd,nces_grades_3rd,nces_grades_4th,nces_grades_5th,nces_grades_6th,nces_grades_7th,nces_grades_8th,nces_grades_9th,nces_grades_10th,nces_grades_11th,nces_grades_12th,nces_grades_13th,nces_race_black,nces_race_nhpi,nces_race_asian,nces_race_hispanic,nces_race_aian,nces_race_white,nces_race_multiple,nces_frpl,nces_swd,nces_ell,ELA_School_Average,Math_School_Average,resource_text_1,resource_link_1,resource_text_2,resource_link_2,resource_text_3,resource_link_3,public_contact,public_contact_role,public_contact_email,nces_descriptor,Updated
236,5280 High School,Denver,1200 W Mississippi Ave,Colorado,Denver Public Schools,http://5280highschool.org,"5280 HS is a project based learning school that serves students in recovery from addiction and other related conditions.  5280 students finish their high school careers in a drug-free environment and learn to live a life of recovery, prepared for anything that life throws at them.  Through strong community, relevant curriculum, and strategic partnerships, students are prepared for college or career, and to live a substance-free life for the long-term.",,Elimination of 504 Plan constraints that require many resources but don't actually help our students day-to-day.,,1,,,,,,,,,4-6 years,1,1,1,,3-4 years,,1,1,1,,,,,3-4 years,1,3-4 years,1,1,1,,,1,,1,1,1,3-4 years,1,,1,,1,1,1,,,,,,,,,,,,,,3-4 years,1,,,1,,1,1,,,,1,1,,1,1,,1,,1,1,,1,1,1,career prep and work-based learning,flexible staffing & alternative teaching roles,interdisciplinary,multiple opportunities to demonstrate mastery,performance based assessment,1,1,1,1,1,,1,1,1,Students with a history of substance abuse,"I belong to this classroom and I CAN succeed.  I don't have to fit inside the box; but, rather, I bring much more value to the world when I shine in my strengths and color outside the lines.",,2,4,5,6,,1,7,3,,,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,,Isolation → Connection & Community,Inflexible Systems → Customization,Passive Compliance → Active Self-Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,23,,,80336006756,Urban,95,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,9.57%,0.00%,1.74%,42.61%,0.87%,36.52%,8.70%,64.21%,,,,,News story,https://www.9news.com/article/news/local/outreach/back-to-school/5280-high-school-helping-students-recover-addiction/73-01e39d69-a5e3-4935-a6f6-a58effb78116,News story,https://denver.cbslocal.com/2021/09/03/alternative-high-schools-keeping-students-out-of-justice-system/,Radio story,https://www.cpr.org/2018/09/12/denvers-new-5280-high-school-preaches-more-than-academics-teen-focused-wellness-sobriety-are-a-key-focus/,Melissa Mouton,Executive Director,melissa.mouton@5280highschool.org,,2022-02-22 17:41:55
594,A Vito Martinez Middle School,Romeoville,590 Belmont Dr,Illinois,Valley View Cusd 365u,https://www.vvsd.org/avm,"In 2018-2019, A. Vito Martinez Middle School (AVM) was awarded exemplary status by the Illinois State Board of Education. This status is awarded to the top ten percent of middle schools in the state for growth among all subgroup areas. This success is attributed to a student focused environment that sets high expectations and provides support to all learners. The school was primed to achieve the same status the following year, but was interrupted by the pandemic. 

Visible learning, culturally responsive teaching, and the importance of student voice are critical components of the learning environment at AVM. Martinez educators and staff build a strong foundation of centering students at the forefront of their work.",,"If I could wave a magic wand, I would adjust the state level assessment structure, which in turn would adjust the core curricula. For so long, many of our educators place their value as educators on student performance on state assessments. While state assessments do provide an incredibly important accountability measure, now more than ever they are missing the critical component of 21st century skills and social and emotional well-being of students. If the assessment structure were adjusted, then curricula could be adjusted to embed more social and emotional support and more project-based learning opportunities.",1,,,,,,,,,,10 years or more,1,1,1,,1,,1,,3-4 years,1,,,1,1,1,,1,3-4 years,,1,5+ years,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,5+ years,,5+ years,,,,,,,1,,1,,1,,1,,,1,,1,,,,,,accommodations provided to all students,advancement on mastery,expanded measures of success,,,1,1,,1,1,,,,,,"The student experience at AVM is designed to put students at the center of their learning. Through self-assessment practices and the use of student friendly rubrics, students are able to know what they are learning, how they will be successful, and what their next steps are in their learning. Students should also feel like their teachers are connecting with them on a personal level both socially and academically.",,,3,,2,,1,,,,,,Rote Activities →  Rigorous Learning,,Assimilation & Marginalization → Affirmation of Self & Others,,Isolation → Connection & Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,21,174007004037,Suburban,758,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,15.15%,0.00%,5.33%,52.31%,0.00%,22.72%,4.49%,61.21%,12.53%,5.83%,,,How One School is Developing Assessment-Capable Visible Learners,https://us.corwin.com/sites/default/files/vln163i8_a_vito_martinez_case_study.pdf,,,,,Sarah DeDonato,Principal,dedonatose@vvsd.org,,2022-03-08 15:30:49
237,Ace Leadership High School,Albuquerque,1240 BELLAMAH AVE. NW,New Mexico,Stand-alone charter authorized by Albuquerque Public Schools,http://aceleadership.org,"ACE Leadership High School is where education meets the real world. Our team approaches high school differently. We invest in every aspect of our students’ lives to prepare them with the tools, support, and connections they need to thrive. We focus on practical projects instead of tests and partner with leaders in New Mexico’s Architecture, Construction and Engineering industries to get everyone learning on their feet rather than cramped behind a desk. We all know the world of work is changing, and education should too. That’s why we’re building a better future together.","Learning By Doing, Work-based Learning, Student-centered",,,1,,,,,,,,,1-3 years,1,1,1,,1,,1,,1,,,1,1,1,1,1,,1,1,1,,,1,1,5+ years,5+ years,5+ years,,1,,,1,1,1,,,,,,,,,1,,1,,1,1,1,,1,1,,1,1,5+ years,,1,1,,1,,1,,1,5+ years,1,1,1,1,1,1,assessments for career readiness,career prep and work-based learning,family and community support services,,,1,1,1,1,1,,,,,,"At ACE Leadership High School we work as a team to support students with a real world education. Our teachers and staff work alongside leaders in New Mexico’s architecture, construction, and engineering industries to provide students with the tools, support, and connections they need to succeed.

We are caring. 
At ACE, we make sure every student gets one-on-one support. Our school is a safe and caring place   where students discover their unique strengths, grow, and thrive. As a community, we believe in the power of courage, integrity, and purpose. We hold each other accountable and bring out the best in each other so that we can build a better future together. 

We are grounded.
ACE offers practical experiences and expert connections that prepare our students for success in life and work. We are free, local, and public, and we have been firmly grounded in our community since 2010. At ACE we pair hands-on projects with highly engaged teachers and staff.  We make sure that every student — whether returning to school after an absence, raising a family, or holding down a job — has the individualized support they need to succeed.

We are connected.
At ACE, we know that when we work as a team, everyone wins. That’s why we build connections between students, educators, community partners, and industry leaders to bring out the best in all of us. We actively engage with our local neighborhoods to provide resources and support for a healthy community. Every year we connect ACE students to industry leaders for mentorship and real life learning opportunities. New Mexico professionals join us in the classroom and help design our projects. These vital connections support our students and offer opportunities to give back to the place we all call home.",4,2,,3,1,,,,,,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,12,,30,,,350006001074,Urban,256,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,1.93%,0.39%,0.00%,88.42%,1.54%,7.34%,0.39%,100.00%,,,,,"ACE ""Why we Build this Way"" video",https://www.youtube.com/watch?v=zLLz4YF1Pnk,Forbes: 11 Alternative Schools That Are Real Alternatives,https://www.forbes.com/sites/tomvanderark/2019/10/07/11-alternative-schools-that-are-real-alternatives/?sh=247a60cb1c1c,,,Justin Trager,Executive Director,Justin@ACELeadership.org,,2022-03-08 9:47:45
306,Achieve Community Charter School,Newark,534 Clinton Avenue,New Jersey,Achieve Community Charter School,https://www.achieveccs.org/,"Achieve Community Charter School believes all students have the ability to achieve at a high level and innovate in their education, careers, and lives. ACCS is fiercely committed to cultivating intellectual curiosity and providing students with daily rigorous college-preparatory instruction set to high standards. ACCS is committed to serving students in Newark, New Jersey through a K-8 school model developed by BRICK Education Network that provides a PK-12 continuum fostering the individual needs of students as they develop the skills, character, and values to prepare them for college and empower them to use their unique perspectives as an asset to shape our country’s future.",,,,1,,,,,,,,,1-3 years,,3-4 years,1-2 years,,1,1,1,1,Less than a year,1,,1,1,1,1,1,,1,3-4 years,1,,,1,,,,,1,1,,,1,1,1,1,1,,,1,,,,,,,,,,1,Less than a year,1,1,,,1,,,,1,1,,,1,,,,,,,1,1,,accommodations provided to all students,anti-racist practices,design to meet needs of students who have been marginalized,social justice focus,students as co-leaders,,,,,,,,,,,"Achieve is fiercely committed to cultivating intellectual curiosity and providing students with daily rigorous college-preparatory instruction set to high standards. We ensure that every student achieves. How we do it:
Comprehensive Curriculum: Teaching the most important ideas at just the right time 
Student Investment and Choice: Different pathways to the same goal 
Continuous Data Cycle: Monitoring and adjusting practice to maximize impact and student learning
Blended Learning:  Technology is a very powerful tool if used effectively to increase student achievement.  

Our Graduates speak to the high expectations we hold for our learners:
Achievers own their story and are empowered to leave their mark on society.
Achievers show up in the world ready to lead by demonstrating the best possible version of themselves.
Achievers experiment using creative thinking skills to take action.
Achievers seek knowledge and truth by observing the world",,,1,,,,2,3,,,,,Rote Activities →  Rigorous Learning,,,,Isolation → Connection & Community,Inflexible Systems → Customization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340079203419,Urban,315,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,86.90%,0.00%,0.00%,12.14%,0.00%,0.96%,0.00%,46.03%,0.00%,0.00%,,,,,,,,,Chris Perpich,Chief School Administrator,cperpich@brickeducation.org,,2022-03-16 10:22:55
545,Acton Academy Venice Beach,Venice,"2210 Lincoln Blvd, Suite 13",California,,www.actonvenice.org,"Acton Academy Venice Beach is a learner-driven, micro school that integrates personalized learning, Socratic discussions, hands on projects, and real-world apprenticeships in a community built on character and critical thinking.  Rigorous academics are combined with real world problem solving in an environment where students’ interests, passions, and talents drive the learning.",Learner-driven,,,,1,,,1,,,,,7-9 years,,1,1,,,1,1,,,,,,1,1,,1,1,1,,,1,1,1,1,1,5+ years,1,5+ years,1,1,,1,5+ years,1,1,,,1,1,,,1,1,1,,,1,1,5+ years,1,1,1,1,,,1,1,1,1,,5+ years,1,1,,,,1,1,,1,1,1,dual language programming,,,,,,,,,,,,,,,"Our project-based approach with a narrative format allows for the learners to apply knowledge across subjects and disciplines allowing for deeper learning and understanding.  The daily learning objective is for each student to learn how to learn, learn how to do and learn how to be. Through personal empowerment, agency, and responsibility, character growth drives our curriculum with students taking charge of managing and governing their own learning path and school community. Each graduate will be equipped to lead an organization, create curriculum, and inspire others to follow a Hero’s Journey.",5,,2,3,,,,4,1,,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,,,,Inflexible Systems → Customization,Passive Compliance → Active Self-Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1700094,Urban,13,No,No,1,1,No,1,5,No,2,1,2,No,No,No,,0.00%,0.00%,0.00%,0.00%,0.00%,69.23%,30.77%,,,,,,School Profile,https://docs.google.com/document/d/1szTScZrjVg2ISxeh6gGdda7pUUEiqbdLrlNeGBbriBU/edit?usp=sharing,,,,,Dani Foltz-Smith,Founder and Head of School,dkfoltz@gmail.com,,2022-03-08 14:52:39
7,American Academy Of Innovation,South Jordan,5410 W South Jordan Parkway,Utah,American Academy of Innovation,http://www.aaiutah.org,"Here at AAI we strive to empower the individual mind to improve the world by challenging the potential in individuals, institutions, and systems. Thus, AAI combines the academic fundamentals of career, technology, and 21st century skills with international and community partnerships through competency-based, project-based, and experiential learning in order to ignite an innovative mindset within the individual and society",experiential learning,High stakes testing.,,1,,,,,,,,,4-6 years,1,3-4 years,,,,,,,1,,1,1,,1,1,1-2 years,1,1,,1,,1,,,1,1,5+ years,,,1,,3-4 years,,1,,,,,,1,,,,,1,,3-4 years,,,,1,1,1,1,,1,1,1,1,1,1,,1,,,1,,1,1,,,1,1:1 mentoring,advancement on mastery,extended learning opportunities,universal design for learning,students progress at own pace,1,,,1,,,,,,,"Students will acquire, evaluate, and transfer culturally significant knowledge through formulation, inquiry, synthesis, analysis, communication, and engagement.",,5,4,,3,,2,,1,,,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,,Assimilation & Marginalization → Affirmation of Self & Others,,Isolation → Connection & Community,,Passive Compliance → Active Self-Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490018601483,Rural,394,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.49%,0.00%,1.96%,15.20%,0.25%,77.45%,4.66%,24.11%,15.34%,0.00%,,,AAI Aviation Program,https://www.southjordanjournal.com/2022/01/13/387356/new-aai-aviation-program-launches-students-into-realizing-sky-has-no-limits,Choice Humanitarian Partnership,https://kutv.com/features/fresh-living/american-academy-of-innovation,,,Ryan Hagge,Principal,ryan.hagge@aaiutah.org,,2022-02-23 14:57:41
8,Anastasis Academy,Centennial,6495 S Colorado Blvd,Colorado,none provided,http://anastasisacademy.us,"At Anastasis, we believe we have a moral imperative to make learning and school meaningfully better for all kids by honoring the unique identity of each of them. Our ambition is to help kids live an abundant, unforgettable, honest, and meaningful story. We take the time to get to know every child, and build a learning experience to meet the needs of their whole person. Anastasis students enjoy an apprenticeship in learning through inquiry, creativity, weekly excursions, and trust within a supportive community. At Anastasis, students are active participants, designers, and evaluators of their learning. Anastasis is more than a school, it's a movement of good.","service-oriented, immersive","I would change our reliance on standardized testing, and one-size-fits all models would be a thing of the past. I would decentralize learning for all kids.",,,1,,,1,,,,,10 years or more,1,1,1,,1,5+ years,1,,1,,,,,1,,5+ years,1,1,,1,1,1,1,1,5+ years,1,1,,,1,,1,5+ years,1,,1,,,,,,1,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,,,,,,early college high school,hiring for equity and inclusion values,universal design for learning,students earn industry credentials,place-based learning,,,,,,,,,1,"We redesign the school experience based on every individual student at Anastasis, this includes meeting the needs of many of the groups above including: Students with learning differences, emergent bilinguals, economically disadvantaged students, students of color, newcomer students, and students in the foster care system.","At Anastasis, students are active participants, designers, and evaluators of their learning. Students are at the center of every learning experience, the environment, and enjoy freedom and agency. Students are fully immersed in the learning experience every day.",7,1,,6,8,5,3,2,4,9,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,Reinforcement of the Status Quo → Social Consciousness & Action,Isolation → Connection & Community,Inflexible Systems → Customization,Passive Compliance → Active Self-Direction,"Siloed Schooling → Anytime, Anywhere Learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,,,A1790101,Suburban,58,No,3,3,4,8,7,10,8,9,6,No,No,No,No,,1.72%,0.00%,12.07%,3.45%,0.00%,82.76%,0.00%,,,,,,Donnell Kay article,http://dkfoundation.org/working-on/dk-team/first-steps-towards-agency-the-learner-profile,News Story video,https://www.youtube.com/watch?v=vUlYdwujehU,Voyage Denver Article,http://voyagedenver.com/interview/meet-kelly-tenkely-anastasis-academy-centennial-south-denver/,Kelly Tenkely,"Founder, Executive Director, Principal",ktenkely@anastasisacademy.us,,2022-03-08 14:21:00
11,Aspen Academy,Greenwood Village,5859 South University Blvd,Colorado,none provided,www.aspenacademy.org,"Aspen Academy is first and foremost, an intentional community committed to learning, growing and leading. We are wholly committed to  highly innovative and relevant next generation education; leadership, financial acumen and entrepreneurial development; and community strength and service.",,,,,1,,,,,,,,10 years or more,1,1,1,,,1,1,1,5+ years,,1,1,5+ years,5+ years,1,5+ years,1,1,1,1,5+ years,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,1,,1,,1,1,,1,,,assessments for career readiness,disaggregated data on student participation,extended learning opportunities,individual learner profiles,hiring for equity and inclusion values,1,,,,,,,,,,"From early-education through middle school, students, teachers and families are immersed in an intentional, personalized and collaborative culture that supports maximal growth in intellectual, social, emotional and durable skills growth. The community that they have grown up in lives and breathes their values: Be kind. Do good. Work hard. Make the world better which then become integrated into their personal and family systems values. In addition to an education steeped in world class curriculum, students are encouraged in their ownership of their personal journey as well as real world opportunities in consequential personal, social and community leadership and entrepreneurship.",1,6,8,3,4,7,5,,2,,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,Reinforcement of the Status Quo → Social Consciousness & Action,Isolation → Connection & Community,,Passive Compliance → Active Self-Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,96,96,A0700350,Suburban,405,33,28,33,41,47,38,52,45,46,42,No,No,No,No,,,,,,,,,,,,,,Aspen Youth Leadership Institute Curriculum,www.aspenacademy.org,Aspen Finance and Entrepreneurial Development Institute,www.aspenacademy.org,Futureholders,www.aspenacademy.org,Kristina Scala,Founder and President,kristina.scala@aspenacademy.org,,2022-02-28 18:15:52
587,Asu Preparatory Academy Digital,Tempe,PO BOX 877304,Arizona,Asu Preparatory Academy Digital (522074),http://asuprep.asu.edu,"ASU Prep Digital is part of ASU Prep Academy, a network of K-12 college prep schools and programming, operating via a spectrum of instructional delivery models, including site-based schools with a blended learning approach, hybrid and micro school models, co-teaching models for both daily and supplemental instruction, and a fully virtual model.  We put into practice our belief that a single approach cannot meet the needs of every student, so our goal is to continually and imaginatively leverage human, curricular, and technological resources to address student and family needs.",,State statues on seat time for ADM funding.,,1,,,1,,,1,1,We are both a school and service provider for schools in AZ and nationally/internationally,4-6 years,1,,1,,1,,1,,1,,,,1,,,,,1,,1,,,1,,1,,1,,1,,,,1,,1,1,,,1,,3-4 years,,,,1,1,1,,1,,1,1,,,,,3-4 years,,,1,1,,,3-4 years,,,,1,,,,1,à la carte model,competency framework,family and community support services,dual language programming,families as co-leaders,1,1,,1,1,,,,,,"ASU Prep Digital’s educational model integrates the K-12 and university experience to acclimate students to a college mindset and community and to accelerate time to degree. Courses are designed to give students choice and pace options. Students routinely interact with highly qualified instructors and have personal learning success coaches who ensure they make progress toward their academic and career goals. ASU Prep Digital strategically opens ASU’s catalog of college courses to allow students to explore and earn course credit in future college majors and careers as they are ready. The entire learning experience is designed to grow student agency, choice, and strength in learning to navigate their own educational journey.",2,,,,,,,3,,1,Unequal Expectations & Opportunities → High Expectations with Unlimited Opportunities,,,,,,,Inflexible Systems → Customization,,"Siloed Schooling → Anytime, Anywhere Learning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,40096503556,Urban,613,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.02%,0.07%,0.74%,4.41%,0.49%,86.65%,6.62%,,0.00%,0.00%,,,"AZ Department of Education, ASU Prep Digital develop 3-year partnership to bolster math outcomes",https://news.asu.edu/20210712-az-department-education-asu-prep-digital-develop-3-year-partnership-bolster-math-outcomes,"Young: In Designing Resilient School Systems, We Must Move Beyond ‘Either/Or Thinking’ When It Comes to Digital Tools & Remote Learning:",https://www.the74million.org/article/young-in-designing-resilient-school-systems-we-must-move-beyond-either-or-thinking-when-it-comes-to-digital-tools-remote-learning/,ASU Prep Digital partners with Ohio Charter School network to reduce student learning loss due to COVID-19:,https://news.asu.edu/20210917-asu-prep-digital-forges-partnership-ohio-charter-school-network-reduce-student-learning,Jill Rogier,Head of Schools,jrogier@asu.edu,,2022-03-10 12:53:25
620,Atlas Public Schools,St. Louis,2845 Washington Blvd,Missouri,,https://www.atlaspublic.org/,"Atlas Elementary is a new school for curious, creative, and compassionate kids. As a result of our innovative school model, not only do Atlas kids love coming to school, but they are equipped with the critical thinking and problem solving skills needed to thrive in the 21st century. Our students flourish because we focus on educating the whole child, and are committed to recruiting, developing, and retaining highly effective educators.","co-taught classrooms, at home learning, year-round calendar",,,1,,,,,,,,,Less than a year,Less than a year,1,1,,1,,,,1,1,,1,1,1,1,Less than a year,,1,1,1,,,Less than a year,1,Less than a year,,1,,Less than a year,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,1,,,,1,1,,,1,,,,,,,,1,,grading policies focus on mastery,real-world problem solving,teachers as co-leaders,,,1,,1,1,1,,,,,,"Atlas is designed for joyful and authentic learning. Students are exposed to a rigorous curriculum that integrates meaningful, real-world experiences. Students are known, loved, and given the specific supports and challenges they need to thrive.",,4,1,3,6,,2,,,5,,Narrow Focus → Whole-Child Focus,Rote Activities →  Rigorous Learning,Irrelevance → Relevance,Assimilation & Marginalization → Affirmation of Self & Others,,Isolation → Connection & Community,,,"Siloed Schooling → Anytime, Anywhere Learning",,1,,118,,1,1,,,,,,,,,,,,,,,,,69,2,,5,24,1,70,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Heckendorn,Executive Director / Co-Founder,heckendorn@atlaspublic.org,,2022-03-09 8:38:54
